questions,keywords,lang
¿Con quién está casada la hija de Ingrid Bergman?,"Ingrid Bergman, hija, casada",es
Met wie is de dochter van Ingrid Bergman getrouwd?,"Ingrid Bergman, dochter, getrouwd",nl
Wie tief ist Lake Placid?,"Lake Placid, Tiefe",de
Как глубоко является Озеро Плэсиде? ,"Озеро безмятежный ,  глубина ",ru
Como profundo é Lago Placid ,"Lago Plácido ,  profundidade ",pt
How deep is Lake Placid?,"Lake Placid, depth",en
झील प्लेसिड कितना गहरा है?,"झील प्लेसिड, गहराई",hi_IN
عمق دریاچه پالاسید جقدر است؟,"دریاچه پالاسید, عمق",fa
Quanto è profondo il Lake Placid?,"Lake Placid, profondità",it
Quelle est la profondeur du lac Placid?,"profondeur, lac Placid",fr
Cât de adânc este lacul Placid?,"lacul Placid, adânc",ro
Cómo de hondo es el Lago Placid?,"Lago Placid, profundidad",es
Hoe diep is Lake Placid?,"Lake Placid, diepte",nl
Zeig mir alle Museen in London.,"London, Museen",de
Показать меня все музеи в Лондон. ,"музеи ,  Лондон ",ru
exposição mim todos museus dentro Londres. ,"museus ,  Londres ",pt
Show me all museums in London.,"museums, London",en
मुझे लंदन में सभी संग्रहालय दिखाओ। ,"संग्रहालयों ,  लंडन ",hi_IN
تمام موزه های لندن را لیست کن.,موزه های لندن,fa
Mostrami tutti i musei di Londra.,"musei, Londra",it
Montre-moi tous les musées de Londres.," musées, Londres",fr
Arată-mi toate muzeele din Londra,"muzee, Londra",ro
Muéstrame todos los museos en Londres,museos Londres,es
Toen alle museums in Londen.,"Londen, museums",nl
Welche Höhlen haben mehr als 3 Eingänge?,"Höhle, Eingang, mehr als 3",de
Which caves have more than 3 entrances?,"cave, entrance, more than 3",en
چه غارهایی بیشتر از 3 ورودی دارند؟,غارهایی، بیشتر از 3، ورودی,fa
Quali grotte hanno più di 3 entrate?,"grotta, entrata, più di 3",it
Quelles grottes ont plus de 3 entrées?,"grottes, plus de 3 entrées",fr
Ce peșteri au mai mult de 3 intrări?,"peșteră, intrare, mai mult de 3",ro
¿Qué cuevas tienen más de 3 entradas?,"cueva, entrada, más de 3",es
Welke grotten hebben meer dan drie ingangen?,"grot, ingang, meer dan drie",nl
Wer ist der größte Spieler der Atlanta Falcons?,"Atlanta Falcons, Spieler, größter",de
Кто является  Самый высокий игрок из  Atlanta Соколы? ,"Atlanta Соколы ,  игрок ,  Самый высокий ",ru
Quem é a mais alto jogador do a Atlanta Falcões? ,"Atlanta Falcões ,  jogador ,  mais alto ",pt
Who is the tallest player of the Atlanta Falcons?,"Atlanta Falcons, player, tallest",en
अटलांटा फाल्कन का सबसे लंबा खिलाड़ी कौन है?,"अटलांटा फाल्कन ,  खिलाड़ी ,  सबसे ऊंची ",hi_IN
بلندترین بازیکن آتلانتا فالکون کیست؟,بلندترین، بازیکن، آتلانتا فالکون,fa
Chi è il giocatore più alto degli Atlanta Falcons?,"giocatore più alto, Atlanta Falcons",it
Qui est le joueur le plus grand des Atlanta Falcons?,"joueur le plus grand, Atlanta Falcons",fr
Cine este cel mai înalt jucător din Atlanta Falcons?,"Atlanta Falcons, jucător, cel mai înalt",ro
¿Quién es el jugador más alto de los Atlanta Falcons?,"jugador más alto, Atlanta Falcons",es
Wie is de langste speler van de Atlanta Falcons?,"Atlanta Falcons, speler, langste",nl
Was sind laut IGN die Top-10-Action-Rollenspiele?,"Top-10-Action-Rollenspiele, IGN",de
Какие находятся  Топ 10 действие ролевая видео игры в соответствии в IGN? ,"Топ 10 ,  действие ,  ролевая игры ,  IGN ",ru
o que estamos a top-10 açao interpretação de papéis vídeo jogos de acordo para IGN? ,"top-10 ,  açao ,  interpretação de papéis jogos ,  IGN ",pt
What are the top-10 action role-playing video games according to IGN?,"top-10, action, role-playing games, IGN",en
आईजीएन के मुताबिक शीर्ष-10 एक्शन रोल-प्लेइंग वीडियो गेम क्या हैं?,"शीर्ष 10 ,  कार्य ,  भूमिका निभाना खेल ,  आईजीएन ",hi_IN
10 بازی ویدئویی نقش آفرینی اکشن برتر بر اساس آی.جی.ان. کدام است؟,10 برتر، بازی ویدئویی نقش آفرینی، اکشن، آی.جی.ان.,fa
Quali sono i 10 migliori videogiochi di ruolo d'azione secondo l'IGN?,"migliori 10, azione, giochi di ruolo, IGN",it
Quels sont les 10 meilleurs jeux vidéos de rôle d'après IGN?,"jeux de rôle, jeux vidéos, IGN, top-10",fr
"Care jocuri video se află în top-10 pentru acțiune și simulare, potrivit IGN?","top-10, acțiune, ju=ocuri de simulare, IGN",ro
¿Cuáles son los 10 mejores videojuegos de rol de acción según la IGN?,"10 mejores videojuegos de rol de acción, IGN",es
Wat zijn de top-10 actie role-playing computerspellen volgens IGN?,"top-10 actie rollenspellen, IGN",nl
"Gib mir alle Schriftsteller, die den Literaturnobelpreis gewonnen haben.","Schritfsteller, Literaturnobelpreis",de
Дайте меня все писатели что выиграл  Нобель приз в литература. ,"писатель ,  выиграть ,  Нобель приз в литература ",ru
Dar mim todos escritoras aquele Ganhou a Nobel Prêmio dentro literatura. ,"escritor ,  ganhar ,  Nobel Prêmio dentro literatura ",pt
Give me all writers that won the Nobel Prize in literature.,"writer, win, Nobel Prize in literature",en
 मुझे उन सभी लेखकों के नाम दें जिन्होंने साहित्य में नोबेल पुरस्कार जीता।,"लेखक, जीत, साहित्य में नोबेल पुरस्कार",hi_IN
تمام نویسندگانی که جایزه نوبل در ادبیات را بردند لیست کن.,نویسندگانی، جایزه نوبل در ادبیات، بردند,fa
Dammi tutti gli scrittori che hanno vinto il Premio Nobel della letteratura.,"scrittori, Premio Nobel della Letteratura",it
Donne-moi tous les auteurs qui ont gagné le prix Nobel de litérature.,"auteurs, prix Nobel de litérature",fr
Dă-mi toți scriitorii care au câștigat premiul Nobel pentru literatură.,"scriitor, câștigat, premiul Nobel pentru literatură",ro
Dame todos los escritores que hayan recibido el premio nobel de literatura.,"escritores, premio nobel de literatura",es
Toon alle schrijvers die de Nobelprijs in literatuur hebben gewonnen.,"schrijvers, Nobelprijs in literatuur, gewonnen",nl
"Zeig mir alle Basketballspieler, die größer als 2 Meter sind.","Basketballspieler, größer als 2 Meter",de
Показать меня все баскетбол игроки что находятся выше чем 2 метров. ,"баскетбол игроки ,  выше чем 2 метры ",ru
exposição mim todos basquetebol jogadoras aquele estamos superior do que 2 metros. ,"basquetebol jogadoras ,  superior do que 2 metros ",pt
Show me all basketball players that are higher than 2 meters.,"basketball players, higher than 2 meters",en
मुझे सभी बास्केटबाल खिलाड़ियों को दिखाएं जो 2 मीटर से अधिक हैं।,"बास्केटबॉल खिलाड़ी, 2 मीटर से अधिक",hi_IN
تمام بازیکنان بسکتبال که بلندتر از 2 متر هستند را لیست کن.,بازیکنان بسکتبال، بلندتر از 2 متر,fa
Mostrami i giocatori di pallacanestro più alti di 2 metri.,"giocatori di pallacanestro, più alti di 2 metri",it
Donnes-moi tous les joueurs de basketball qui ont au moins 2 mètres de taille.,"joueurs de basketball, taille, plus de 2 mètres",fr
Arată-mi toți jucătorii de basket care sunt mai înalți de 2 metri.,"jucători de basket, mai înalți de 2 metri",ro
Muéstrame todos los jugadores de baloncesto que tienes mas de 2 metros de altura,"jugadores baloncesto, mas 2 metros altura",es
Toen alle basketbalspelers die grooter zijn dan 2 meter.,"basketbalspelers, groter dan, 2 meter",nl
Wann wurde die Freiheitsstatue erbaut?,"Freiheitsstatue, erbauen",de
когда был  Статуя из свобода построен? ,"Статуя из свобода ,  построен ",ru
Quando estava a Estátua do Liberdade construído? ,"Estátua do Liberdade ,  construído ",pt
When was the Statue of Liberty built?,"Statue of Liberty, built",en
स्टेच्यू ऑफ लिबर्टी कब बनाया गया था?,"स्टेचू ऑफ़ लिबर्टी, बनाया",hi_IN
کی مجسمه آزادی ساخته شد؟,مجسمه آزادی، ساخته,fa
Quando è stata costruita la Statua della Libertà?,"Statua della Libertà, costruire",it
Quand a-t-été construit la statue de la liberté?,"statue de la liberté, construit",fr
Când a fost construită Statuia Libertății?,"Statuia Libertății, construit",ro
¿Cuándo fue construída la estatua de la libertad?,"estatua de la libertad, construída",es
Wanneer werd het Vrijheidsbeeld gebouwd?,"Vrijheidsbeeld, gebouwd",nl
Welche Staaten grenzen an Illinois?,"Staat, angrenzen, Illinois",de
Который состояния граница Иллинойс? ,"государство ,  граница ,  Иллинойс ",ru
Qual estados fronteira Illinois? ,"Estado ,  fronteira ,  Illinois ",pt
Which states border Illinois?,"state, border, Illinois",en
इलिनोइस के साथ किन राज्यों की सीमाएं हैं? ,"राज्य ,  सीमा ,  इलिनोइस ",hi_IN
ایلینوی با چه ایالت هایی هم مرز است؟,ایلینوی، ایالت هایی، هم مرز,fa
Con quali stati confina l'Illinois?,"stati, confine, Illinois",it
Quels sont les états voisins de l'Illinois?,"états voisins, Illinois",fr
Ce state formează granite cu Illinois?,"stat, granite, Illinois",ro
¿Qué estados tienen frontera con Illinois?,"estado, frontera, Illinois",es
Welke staten grenzen aan Illinois?,"staat, grenzen aan, Illinois",nl
Wer hat Minecraft entwickelt?,"Minecraft, Entwickler",de
Кто развитая Шахтерское ремесло? ,"Шахтерское ремесло ,  развивать ",ru
Quem desenvolvido Minecraft? ,"Minecraft ,  desenvolve ",pt
Who developed Minecraft?,"Minecraft, develop",en
कौन विकसित Minecraft? ,"Minecraft ,  विकसित करना ",hi_IN
چه کسی ماینکرفت را ساخت؟,ماینکرفت، ساخت,fa
Chi ha sviluppato Minecraft?,"Minecraft, sviluppare",it
Qui a dévelopé Minecraft?,"dévelopé, Minecraft",fr
Cine a dezvoltat Minecraft?,"Minecraft, dezvolta",ro
¿Quién desarrolló Minecraft?,"Minecraft, desarrolló",es
Wie ontwikkelde Minecraft?,"Minecraft, ontwikkeld",nl
Wo ist Hillel Slovak gestorben?,"Hillel Slovak, Todesort",de
где сделал Гилель словацкий ? ,"Гилель словацкий ,  смерть место ",ru
Onde fez Hillel Eslovaco o? ,"Hillel Eslovaco ,  morte Lugar,  colocar ",pt
Where did Hillel Slovak die?,"Hillel Slovak, death place",en
 हिलेल स्लोवाक की मौत कहां हुई?,"हिल्लेल स्लोवाक ,  मौत जगह ",hi_IN
کجا هیلل اسلووک فوت کرد؟,هیلل اسلووک، فوت,fa
Dove è morto Hillel Slovak?,"Hillel Slovak, dove è morto",it
Donne moi le lieu de décès de Hillel Slovak.,"lieu, décès, Hillel Slovak",fr
Unde a murit Hillel Slovak?,"Hillel Slovak, locul morții",ro
¿Dónde murió Hillel Slovak?,"Hillel Slovak, donde murió",es
